reg_id,year,number,change,file
PERMEN_DESA_2019_5,2019,5,PERMEN_DESA_2018_5,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn873-2019.json
PERMEN_NAKER_2019_5,2019,5,PERMEN_NAKER_2018_24,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_479-2019.json
PERMEN_PERIN_2019_5,2019,5,PERMEN_PERIN_5_16,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn217-2019.json
Permen_Dag_2019_47,2019,47,Permen_Dag_2009_44,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn668-2019.json
Perpres_2019_47,2019,47,Perpres_2010_23,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/ps47-2019.json
Permen_Dagri_2019_46,2019,46,Permen_Dagri_2018_2,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn815-2019.json
Permen_Dagri_2019_45,2019,45,Permen_Dagri_2013_88,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn900-2019.json
PP_2019_45,2019,45,PP_2010_94,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/pp45-2019bt.json
Permen_KP_2019_44,2019,44,Permen_KP_2018_61,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1300-2019.json
Peraturan_OJK_2019_43,2019,43,Peraturan_OJK_2016_73,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/ojk43-2019bt.json
Perpres_2019_42,2019,42,Perpres_2010_10,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/ps42-2019.json
PERMEN_DIKBUD_2019_40,2019,40,PERMEN_DIKBUD_2019_1,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1209-2019.json
