new_doc,old_doc
Permen_Keu_2013_203,Permen_Keu_2010_206
Permen_Keu_2013_207,Permen_Keu_2010_62
Permen_Keu_2013_210,
Permen_Keu_2013_217,Permen_Keu_2011_235
Permen_Keu_2013_221,Permen_Keu_2012_248
Permen_Keu_2014_227,Permen_Keu_2011_135
Permen_Keu_2013_29,Permen_Keu_2012_160
Permen_Keu_2013_30,Permen_Keu_2008_213
Permen_Keu_2013_31,Permen_Keu_2012_37
Permen_Keu_2013_34,Permen_Keu_2011_135
Permen_Keu_2013_35,Permen_Keu_2012_205
Permen_Keu_2013_38,Permen_Keu_2010_75
Permen_Keu_2013_40,Permen_Keu_2011_35
Permen_Keu_2013_68,Permen_Keu_2012_150
Permen_Keu_2013_79,Permen_Keu_2013_16
Permen_Keu_2013_80,Permen_Keu_2011_246
Permen_Keu_2013_82,Permen_Keu_2009_110
Permen_Keu_2013_83,Permen_Keu_2012_39
Permen_Keu_2013_91,Permen_Keu_2012_37
Permen_Keu_2013_95,Permen_Keu_2013_16
Permen_Keu_2013_98,Permen_Keu_2011_125
Permen_Dikbud_2013_4,Permen_Dikbud_2012_58
Permen_Dikbud_2013_9,Permen_Dik_2008_62
Permen_Dikbud_2013_16,Permen_Dikbud_2012_37
Permen_Dikbud_2013_23,Permen_Dik_2010_15
Permen_Dikbud_2013_42,Permen_Dikbud_2013_1
Permen_Dikbud_2013_74,Permen_Dikbud_2013_8
Permen_Dikbud_2013_76,Permen_Dikbud_2013_26
Permen_Dikbud_2013_79,Permen_Dikbud_2013_12
Permen_Dikbud_2013_82,Permen_Dikbud_2012_32
Permen_Dikbud_2013_89,Permen_Dikbud_2013_78
Permen_Dikbud_2013_108,Permen_Dikbud_2012_58
Permen_Han_2013_08,Permen_Han_2008_07
Permen_Han_2013_11,Permen_Han_2012_31
Permen_Han_2013_17,Permen_Han_2011_17
Permen_Han_2013_19,Permen_Han_2012_26
Permen_Han_2013_31,Permen_Han_2006_18
Peraturan_Jagung_2013_015,Peraturan_Jagung_2011_22
Permen_Perin_2013_4,Permen_Perin_2008_43
Permen_Perin_2013_05,Permen_Perin_2012_91
Permen_Perin_2013_06,Permen_Perin_2012_87
Permen_Perin_2013_08,Permen_Perin_2012_78
Permen_Perin_2013_10,Permen_Perin_2012_101
Permen_Perin_2013_11,Permen_Perin_2012_100
Permen_Perin_2013_12,Permen_Perin_2012_99
Permen_Perin_2012_122,Permen_Perin_2010_26
Permen_Perin_2013_13,Permen_Perin_2011_98
Permen_Perin_2013_17,Permen_Perin_2012_80
Permen_Perin_2013_18,Permen_Perin_2011_51
Permen_Perin_2013_19,Permen_Perin_2012_27
Permen_Perin_2013_20,Permen_Perin_2012_97
Permen_Perin_2013_21,Permen_Perin_2012_03
Permen_Perin_2013_22,Permen_Perin_2012_01
Permen_Perin_2013_23,Permen_Perin_2009_87
Permen_Perin_2013_27,Permen_Perin_2012_11
Permen_Perin_2013_3,Permen_Perin_2012_96
Permen_Perin_2013_36,Permen_Perin_2011_47
Permen_Perin_2013_37,Permen_Perin_2012_86
Permen_Perin_2013_38,Permen_Perin_2013_06
Permen_Perin_2013_39,Permen_Perin_2013_01
Permen_Perin_2013_44,Permen_Perin_2012_98
Permen_Perin_2013_45,Permen_Perin_2012_89
Permen_Perin_2013_48,Permen_Perin_2012_115
Permen_Perin_2013_53,Permen_Perin_2012_107
Permen_Perin_2013_54,Permen_Perin_2013_31
Permen_Perin_2013_55,Permen_Perin_2013_24
Permen_Perin_2013_57,Permen_Perin_2013_17
Permen_Perin_2013_58,Permen_Perin_2013_08
Permen_Perin_2013_59,Permen_Perin_2013_10
Permen_Perin_2013_60,Permen_Perin_2013_05
Permen_Perin_2013_62,Permen_Perin_2012_48
Peraturan_BPS_2013_15,Peraturan_BPS_2012_77
Peraturan_Polri_2013_12,Peraturan_Polri_2011_7
Peraturan_Polri_2013_14,
Permenko_Kesra_2013_02,
Peraturan_LAN_2013_10,
Peraturan_LAN_2013_10,Peraturan_LAN_2011_6
Peraturan_LAN_2013_11,Peraturan_LAN_2005_6
Peraturan_LAN_2013_11,Peraturan_LAN_2011_7
